channel,ch_index,peak_t,peak_time_s,peak_time_idx,meanA_at_peak,meanB_at_peak,nA,nB
P9,50,1.8726330420040016,-0.05500000298023225,145,-1.9564616593470419e-07,-1.221511870615662e-06,4,3
P5,51,1.230885023869005,0.3619999970197678,562,2.4130386577780882e-09,-8.508834810072585e-07,4,3
P3,52,-2.5180235133191786,-0.010000002980232237,190,-2.1972421171412293e-07,2.674351122777807e-07,4,3
P1,53,0.8975884509818537,-0.07900000298023224,121,-3.1839617165019263e-07,-8.54821673594112e-07,4,3
PZ,54,-2.0835381580601995,0.043999997019767756,244,-8.481406581495321e-07,2.991886252819616e-07,4,3
P2,55,0.7289699738556848,-0.018000002980232244,182,-6.604495048634362e-07,-1.0396560033617182e-06,4,3
P4,56,-3.423356847693718,0.5869999970197678,787,-1.2402860960492035e-07,1.1793440831316578e-07,4,3
P6,57,2.754575503172607,-0.02400000298023225,176,-1.774824198719216e-07,-8.308310649833098e-07,4,3
P10,58,2.152630362341163,0.5029999970197677,703,7.861982931345324e-08,-4.121466143184686e-07,4,3
PO7,59,-1.069952712710073,0.03599999701976775,236,-5.418033310888859e-07,2.3756653947752207e-07,4,3
PO3,60,-1.2618042677082313,0.03599999701976775,236,-5.171158079519955e-07,8.779726575388244e-09,4,3
POZ,61,1.052970494946655,-0.07800000298023224,122,-3.0096627767761674e-07,-1.1355888839640709e-06,4,3
PO4,62,-1.2888774867128001,0.03799999701976775,238,-5.703837970827408e-07,7.776832925780279e-08,4,3
PO8,63,1.3397925585059183,0.19599999701976778,396,-3.9236746141035894e-07,-1.2530446594401685e-06,4,3
O1,64,-1.3760390309154467,0.03999999701976775,240,-6.035707258433831e-07,5.514372863520597e-07,4,3
OZ,65,-1.6546346154401592,0.03599999701976775,236,-8.399125945857122e-07,2.610271489326503e-07,4,3
O2,66,1.7877872583591732,-0.17500000298023224,25,-8.874367907196756e-09,-2.814124234381173e-07,4,3
T3,67,3.5737123011341265,0.15699999701976775,357,2.539297447867739e-07,-5.963153171251179e-07,4,3
T5,68,1.7316493117374934,-0.07000000298023223,130,1.4526222003041767e-08,-5.975329001965216e-07,4,3
T4,69,3.140333748573599,0.08299999701976774,283,1.190055485267294e-07,-5.64177961829652e-07,4,3
T6,70,2.491861667571611,0.5009999970197677,701,3.587601327126322e-10,-3.3067934642379743e-07,4,3
