subject,stage,window_index,FC6_mean_amp,FC6_peak_pos,FC6_peak_neg,FC6_ptp,FC6_std,FC6_auc,POZ_mean_amp,POZ_peak_pos,POZ_peak_neg,POZ_ptp,POZ_std,POZ_auc,C2_mean_amp,C2_peak_pos,C2_peak_neg,C2_ptp,C2_std,C2_auc,F6_mean_amp,F6_peak_pos,F6_peak_neg,F6_ptp,F6_std,F6_auc,PO8_mean_amp,PO8_peak_pos,PO8_peak_neg,PO8_ptp,PO8_std,PO8_auc,Fp1_mean_amp,Fp1_peak_pos,Fp1_peak_neg,Fp1_ptp,Fp1_std,Fp1_auc,P6_mean_amp,P6_peak_pos,P6_peak_neg,P6_ptp,P6_std,P6_auc,FT10_mean_amp,FT10_peak_pos,FT10_peak_neg,FT10_ptp,FT10_std,FT10_auc,CZ_mean_amp,CZ_peak_pos,CZ_peak_neg,CZ_ptp,CZ_std,CZ_auc,FT8_mean_amp,FT8_peak_pos,FT8_peak_neg,FT8_ptp,FT8_std,FT8_auc
EPCTL24,L,0,-3.792170393111977e-06,-1.383172160460324e-06,-5.90959798965743e-06,4.526425829197106e-06,1.2596791884590799e-06,-1.3245511496372724e-06,-8.833423203327231e-08,9.291597284713662e-07,-1.1953741216397094e-06,2.1245338501110756e-06,5.462403576042852e-07,-3.0643275987377496e-08,4.782244958663161e-07,1.9502169797966665e-06,-7.45887765349212e-07,2.6961047451458786e-06,6.115197742387647e-07,1.6625569577601083e-07,-4.031526978522561e-07,1.2404821005643297e-06,-1.5203201378426974e-06,2.760802238407027e-06,6.254120956253578e-07,-1.4037610163397728e-07,4.0817282403518846e-07,1.6139199587366915e-06,-6.639600552528689e-07,2.2778800139895607e-06,5.034108789089508e-07,1.431569591801328e-07,1.2944435019380715e-07,1.5487192183617332e-06,-1.506500640887108e-06,3.0552198592488415e-06,7.040172631642253e-07,4.595914661403622e-08,7.594415729105699e-07,2.3912526108840374e-06,-1.8071688071323056e-06,4.1984214180163425e-06,1.1285449191846209e-06,2.662964136014314e-07,2.3820540799989354e-07,1.2852629311520288e-06,-6.624751631566888e-07,1.9477380943087176e-06,4.385722050564041e-07,8.378429759112208e-08,-6.866602369733238e-07,3.267438016618133e-07,-1.541034254007895e-06,1.8677780556697083e-06,4.876506141367419e-07,-2.397094858440747e-07,-1.4469117501563976e-07,1.530770570526796e-06,-1.7256101888781234e-06,3.2563807594049195e-06,7.242216471477506e-07,-5.072221342997453e-08
EPCTL24,W,0,-3.2133125362348636e-06,-1.6897210603769113e-06,-5.5477825837679816e-06,3.85806152339107e-06,1.0130685162744664e-06,-1.1224470211635682e-06,5.13091642794521e-07,1.4614224576013391e-06,-5.563061036334513e-07,2.0177285612347907e-06,5.344539410362293e-07,1.7970549654614115e-07,8.142547106527036e-07,3.235946379908272e-06,-9.177888960882109e-07,4.153735275996483e-06,9.876025851088444e-07,2.8425199615353797e-07,-9.202988301106638e-07,1.0505571108593175e-06,-4.305711531205076e-06,5.356268642064393e-06,1.4276716654782625e-06,-3.211962827757682e-07,-4.4502010974448253e-07,1.6607635489136709e-06,-3.4077283015477983e-06,5.068491850461469e-06,1.1894674775204849e-06,-1.5553400439266423e-07,-1.759579141295496e-07,2.32698966594288e-06,-3.867000271824332e-06,6.193989937767212e-06,1.500388745334677e-06,-6.13682047672215e-08,4.6610184122025777e-07,3.452495223290929e-06,-4.10829043164956e-06,7.560785654940489e-06,1.91165333852702e-06,1.6347364710247787e-07,4.128961442980359e-07,1.0961432364597817e-06,-9.171071081468401e-07,2.013250344606622e-06,4.5045736203858255e-07,1.4427570198486484e-07,-6.379687482335709e-07,1.5817713973994867e-06,-2.088061354730885e-06,3.6698327521303717e-06,9.136529732675528e-07,-2.2415932752691861e-07,2.650071521275148e-07,2.4597632747854724e-06,-1.9766977375826276e-06,4.4364610123681e-06,1.0697036033098048e-06,9.132429170324393e-08
EPCTL24,W,0,-1.7963943240667003e-06,-2.4313762670887394e-07,-3.581863596901444e-06,3.33872597019257e-06,9.730416007657004e-07,-6.27748711068228e-07,5.895032503285686e-07,1.6145336178905086e-06,-6.502889146566179e-07,2.2648225325471264e-06,5.564218761641576e-07,2.0630665181592937e-07,2.724998820894055e-07,2.477516092763742e-06,-1.1557027888777298e-06,3.633218881641472e-06,9.21526366962264e-07,9.443834841416279e-08,-6.050923298023104e-07,9.063845359740124e-07,-2.4753062978075897e-06,3.381690833781602e-06,9.241343014480687e-07,-2.1100141997637195e-07,-4.5305945604201405e-07,8.081749915552585e-07,-2.0198405711451827e-06,2.8280155627004414e-06,6.993916080353687e-07,-1.5805851534640642e-07,-4.456222574528823e-07,5.936787528600682e-07,-1.8290260945619676e-06,2.422704847422036e-06,7.030495445282692e-07,-1.5532702499960066e-07,3.585519300172648e-07,1.8958727307028284e-06,-2.0013461421802445e-06,3.897218872883073e-06,9.653487809524917e-07,1.262577329365937e-07,5.946915228097089e-07,1.577024823203331e-06,-5.720921125751145e-07,2.1491169357784453e-06,4.916777136675963e-07,2.0837346587489448e-07,-1.00944471944772e-06,1.487625956554734e-07,-2.5091179973962405e-06,2.657880593051714e-06,7.114041959693315e-07,-3.524320454440264e-07,-8.585108980345642e-07,1.2445176231469498e-06,-2.5660782736845476e-06,3.8105958968314974e-06,8.857556559820055e-07,-2.998322115708564e-07
EPCTL24,N2,0,-8.179319505991686e-07,1.4522813673845615e-06,-3.534495531547593e-06,4.986776898932155e-06,1.2135806212202015e-06,-2.8679288208482666e-07,1.0868782885928457e-06,2.3443547211063703e-06,-5.895100054862858e-08,2.403305721654999e-06,6.050509496026858e-07,3.8026777799661085e-07,1.344445506762412e-06,2.6296964507919665e-06,2.447648874401061e-07,2.3849315633518605e-06,6.427404550372905e-07,4.6963907412621923e-07,-3.4938736968233154e-07,8.162562140236663e-07,-2.493711507942278e-06,3.3099677219659443e-06,9.610549884303812e-07,-1.222937703741745e-07,-9.192332130992763e-08,8.991889535897313e-07,-1.4790029045565486e-06,2.37819185814628e-06,6.287233728763814e-07,-3.229355310911989e-08,-6.25017455233397e-07,3.975913657399371e-07,-2.475234133433848e-06,2.872825499173785e-06,7.527303840456835e-07,-2.1883731216511969e-07,-1.03309532136312e-07,1.3275317659224527e-06,-2.4947008322763268e-06,3.8222325981987795e-06,1.014129052111316e-06,-3.644535182802149e-08,9.88966447943898e-07,1.932057256897877e-06,2.43189323021643e-07,1.688867933876234e-06,4.697333929872606e-07,3.459975152215836e-07,-1.703983354370599e-08,9.102810122635332e-07,-7.87601903107112e-07,1.6978829153706451e-06,4.772205271676103e-07,-6.394136522795142e-09,7.280676739165767e-07,2.0318313324412647e-06,-1.0138232255972778e-07,2.1332136550009926e-06,6.135356363598391e-07,2.5396196260407616e-07
EPCTL24,N3,0,-4.3248945852266853e-07,1.4142457417191782e-06,-2.497892465795418e-06,3.912138207514597e-06,1.1962070976270103e-06,-1.5095454267444752e-07,1.0921211642990727e-06,1.5245983977765753e-06,2.9201668627131306e-07,1.2325817115052622e-06,3.1769751041170853e-07,3.815993773623584e-07,4.891432595689776e-07,2.977890654687029e-06,-9.109921237335374e-07,3.888882778420566e-06,1.0242603224896754e-06,1.7172950558224555e-07,-8.063539859588331e-07,1.438056887600687e-06,-2.1058454137604138e-06,3.543902301361101e-06,1.110269534460607e-06,-2.822853729070037e-07,-4.1466135844913206e-07,9.296594316754824e-07,-1.1501334372980028e-06,2.079792868973485e-06,6.17968567585645e-07,-1.4544833436811976e-07,-3.049826832967781e-07,1.1494482091648534e-06,-1.4859189171669343e-06,2.6353671263317876e-06,6.50287586804836e-07,-1.0713329412547211e-07,8.174850380646137e-07,2.1544371610816164e-06,-1.2613941495536004e-06,3.415831310635217e-06,8.347405012398696e-07,2.8552049955660593e-07,7.554868504782274e-07,1.2944649784355237e-06,3.6391325046727675e-07,9.305517279682469e-07,2.0299394448515073e-07,2.6391262496660115e-07,-2.406529046716992e-07,1.1646733223199684e-06,-1.021970530275682e-06,2.1866438525956503e-06,5.732382613024252e-07,-8.413858579926761e-08,1.2056781826800562e-07,1.8676634970761594e-06,-8.198739023999271e-07,2.6875373994760867e-06,7.302146671718617e-07,4.258302064283956e-08
EPCTL24,N3,1,-2.452665654500621e-06,1.563542788254768e-07,-4.87507573306195e-06,5.0314300118874275e-06,1.3875259262209533e-06,-8.585103958415331e-07,1.2375414464570956e-06,2.239614931455222e-06,6.462111708433957e-07,1.5934037606118262e-06,4.6357827779360525e-07,4.326788206833624e-07,3.0725094221311286e-06,4.371721020455428e-06,1.3569169111443231e-06,3.014804109311105e-06,7.946040256079941e-07,1.0750645519540284e-06,-3.01842028032083e-08,1.7064202446629814e-06,-2.608660672879194e-06,4.315080917542175e-06,1.258699611638424e-06,-1.0800372638422063e-08,4.43359551905326e-07,1.3585790212529959e-06,-9.741551483443037e-07,2.3327341695972996e-06,7.394227071305176e-07,1.547177831390654e-07,5.751978230089973e-07,1.5921315423652544e-06,-9.578720242958537e-07,2.550003566661108e-06,8.553869899472578e-07,2.0077149752128816e-07,9.017678941757706e-07,2.258330331883264e-06,-1.1588958696931626e-06,3.417226201576427e-06,1.0942019504421014e-06,3.1514420553691424e-07,1.2153205133462963e-06,1.9162607027804724e-06,5.761109232647383e-07,1.3401497795157342e-06,3.139355620993814e-07,4.2501929158844475e-07,6.647904075234737e-07,1.919416493208543e-06,-5.919741577692842e-07,2.5113906509778275e-06,6.43986099509976e-07,2.3270238078870013e-07,1.4898950820251356e-06,3.3198682688577054e-06,-1.3886120181779176e-07,3.4587294706754973e-06,8.994486505373614e-07,5.213871951496083e-07
EPCTL24,N3,2,3.54767823114457e-07,3.5146326028967687e-06,-3.511631843238868e-06,7.026264446135637e-06,2.329453250643701e-06,1.2335747744237584e-07,-1.2628831074000762e-07,1.5700266299798487e-06,-1.8586075253470298e-06,3.4286341553268785e-06,1.0890573361031274e-06,-4.4515071793985065e-08,2.4263739513152363e-06,4.308969183894322e-06,6.796702972185998e-07,3.6292988866757223e-06,1.0647072629906781e-06,8.490774912588517e-07,3.075859282206292e-08,2.7554252885859996e-06,-3.7340725331629816e-06,6.489497821748981e-06,2.0385839298712144e-06,1.0610695630586694e-08,3.5307262657290256e-07,2.3515625202373785e-06,-2.565783756970206e-06,4.9173462772075844e-06,1.5666194354441106e-06,1.23271255064857e-07,1.1158916677438598e-07,3.840513668652317e-06,-4.341274959620393e-06,8.18178862827271e-06,2.6779017822307903e-06,3.853611886583557e-08,5.766174533573836e-07,5.612629195707111e-06,-5.584429208471622e-06,1.1197058404178733e-05,3.799742948691806e-06,2.0121401604357974e-07,2.774259979924163e-07,1.93288553623675e-06,-8.803151129579388e-07,2.813200649194689e-06,8.039250243850613e-07,9.714602687010633e-08,1.374977732912403e-06,3.6339721623353707e-06,-1.5206533072668048e-06,5.154625469602176e-06,1.8351756608191658e-06,4.811339835393013e-07,1.326956730698299e-06,4.676701093748211e-06,-2.4459752861411096e-06,7.1226763798893215e-06,2.4825105412922983e-06,4.644963264904298e-07
EPCTL24,N3,3,1.2087794558292616e-07,3.706345603046122e-06,-3.678796453923799e-06,7.385142056969921e-06,2.503228835511492e-06,4.162382615169432e-08,4.4019978567401424e-07,2.0588349044205113e-06,-1.636157489789822e-06,3.694992394210333e-06,1.1197820336698766e-06,1.5431032540351924e-07,1.0677188233526634e-06,3.020785646684131e-06,-6.199448729829364e-07,3.6407305196670672e-06,1.0956263583302972e-06,3.71923663141058e-07,-7.635945781042631e-07,1.5495572522420684e-06,-3.3111522850006757e-06,4.8607095372427445e-06,1.3090208796778052e-06,-2.6662803204949294e-07,1.8564053320821935e-07,1.2835756889792266e-06,-1.426310410130173e-06,2.7098860991093996e-06,6.791095839931216e-07,6.510407346735715e-08,7.697680224552188e-08,1.4106025987675717e-06,-1.2956303256076076e-06,2.7062329243751793e-06,7.645679077221953e-07,2.693389309143684e-08,6.569728665331907e-07,2.309546291033179e-06,-1.1937844954371294e-06,3.5033307864703088e-06,1.095403990675179e-06,2.299540810899016e-07,4.770824480118408e-07,2.009970775490226e-06,-8.274122274853514e-07,2.8373830029755775e-06,8.970340450448971e-07,1.6730707380385984e-07,3.244726924728113e-07,9.64845211157929e-07,-2.882248695838643e-07,1.2530700807417931e-06,3.0907639913430647e-07,1.1304363232059967e-07,-3.61641209038275e-08,1.0837087632500444e-06,-8.876443378208865e-07,1.971353101070931e-06,5.585186750027105e-07,-1.3241349025321823e-08
EPCTL24,N2,0,-4.022126059083317e-07,1.1510013722855136e-06,-1.3496573170277186e-06,2.500658689313232e-06,6.59733556328482e-07,-1.404032820423601e-07,1.0891937187665502e-06,1.9674543031302255e-06,1.3919490738231285e-07,1.8282593957479126e-06,4.4322632774099675e-07,3.807997759491457e-07,-4.869604976917352e-07,7.52312120150906e-07,-1.5016541892147153e-06,2.2539663093656214e-06,5.355659160673928e-07,-1.7118971806575032e-07,-1.044709848376616e-06,-2.096544961928953e-07,-1.954264468519826e-06,1.744609972326931e-06,4.151421658712339e-07,-3.6495095405550995e-07,-3.728751092883427e-07,1.629422398376116e-07,-9.823383492952824e-07,1.145280589132894e-06,2.936952658302181e-07,-1.3025021256625928e-07,-3.3618964186225653e-07,8.68545905852704e-07,-1.3234021484754795e-06,2.1919480543281835e-06,5.721358068977088e-07,-1.1761973261751783e-07,9.480683052499616e-08,2.150464409620139e-06,-1.885044825839845e-06,4.035509235459984e-06,1.1830449471735012e-06,3.3021234838346985e-08,4.1290627359777163e-07,1.1676410393773034e-06,-1.6953808323753938e-07,1.3371791226148427e-06,3.4809179468464756e-07,1.4446157412238449e-07,-1.2322458469657036e-06,1.2236880241448048e-07,-2.2750455764754828e-06,2.397414378889963e-06,5.743249476072798e-07,-4.31361736983545e-07,-1.6828282327319692e-06,-2.8435308453787587e-07,-3.254565912627137e-06,2.970212828089261e-06,7.308466928112138e-07,-5.889032235955531e-07
EPCTL24,R,0,-6.859362182183198e-07,6.108475093762258e-07,-2.234108889932011e-06,2.8449563993082368e-06,7.880258497692256e-07,-2.3964301035063845e-07,2.11853776791365e-07,1.0445313202311742e-06,-1.0558092747544733e-06,2.1003405949856475e-06,6.027356718022851e-07,7.3585128878255e-08,1.723413739479514e-06,2.828132153930426e-06,-2.0538361834650728e-07,3.0335157722769335e-06,7.163485780598839e-07,6.031058568174468e-07,-9.871252644344186e-07,-3.3186002139729125e-07,-2.4941462534203574e-06,2.162286232023066e-06,4.535908281043589e-07,-3.450487033085931e-07,-1.9488684435415507e-07,3.621195839393436e-07,-1.0771547809560494e-06,1.439274364895393e-06,2.709030420337131e-07,-6.812224125673274e-08,1.6413631249051207e-08,9.250934836652945e-07,-9.001142069947441e-07,1.8252076906600386e-06,5.548983456259765e-07,5.981252863614775e-09,6.819527588814433e-07,2.194846390166147e-06,-1.4056200048017384e-06,3.6004663949678854e-06,1.0772712924753721e-06,2.3906223318460906e-07,4.842450097725932e-08,7.049088132749235e-07,-6.879934181844095e-07,1.392902231459333e-06,4.150777378721763e-07,1.6605265468596524e-08,5.052071907342661e-07,1.49453739291308e-06,-1.1127836210074015e-06,2.6073210139204816e-06,6.260359605784518e-07,1.769752663838433e-07,6.613380497966923e-07,1.8260639506623527e-06,-1.3534019013394364e-06,3.179465852001789e-06,7.05640166279053e-07,2.317373458953398e-07
