subject,stage,window_index,FC6_mean_amp,FC6_peak_pos,FC6_peak_neg,FC6_ptp,FC6_std,FC6_auc,POZ_mean_amp,POZ_peak_pos,POZ_peak_neg,POZ_ptp,POZ_std,POZ_auc,C2_mean_amp,C2_peak_pos,C2_peak_neg,C2_ptp,C2_std,C2_auc,F6_mean_amp,F6_peak_pos,F6_peak_neg,F6_ptp,F6_std,F6_auc,PO8_mean_amp,PO8_peak_pos,PO8_peak_neg,PO8_ptp,PO8_std,PO8_auc,Fp1_mean_amp,Fp1_peak_pos,Fp1_peak_neg,Fp1_ptp,Fp1_std,Fp1_auc,P6_mean_amp,P6_peak_pos,P6_peak_neg,P6_ptp,P6_std,P6_auc,FT10_mean_amp,FT10_peak_pos,FT10_peak_neg,FT10_ptp,FT10_std,FT10_auc,CZ_mean_amp,CZ_peak_pos,CZ_peak_neg,CZ_ptp,CZ_std,CZ_auc,FT8_mean_amp,FT8_peak_pos,FT8_peak_neg,FT8_ptp,FT8_std,FT8_auc
EPCTL08,L,0,-2.650357186242007e-07,2.336879439520145e-06,-3.7426998062086514e-06,6.079579245728796e-06,1.6861893551545268e-06,-9.295541479809402e-08,-5.415058562278415e-07,-1.1483114816530434e-07,-1.030565509296565e-06,9.157343611312606e-07,2.1578968359515853e-07,-1.890261290969441e-07,6.361991123885953e-07,1.4747132801377893e-06,-1.758727095255604e-07,1.6505859896633496e-06,3.8126928854385813e-07,2.2179352153157992e-07,1.5589280533469903e-06,2.6159101096357625e-06,-1.865976445816839e-07,2.8025077542174463e-06,5.31650681039852e-07,5.452601671225882e-07,-9.696003023630237e-08,7.026419246842443e-07,-1.522767169441346e-06,2.2254090941255905e-06,5.110163185404247e-07,-3.346211928848636e-08,1.8215663289316493e-06,3.0849425734536302e-06,-1.1818281124569658e-06,4.266770685910596e-06,9.313102158248804e-07,6.373933996451349e-07,2.734848600652983e-06,4.4690467424591125e-06,-1.9012095384797779e-06,6.370256280938891e-06,1.5482733180089646e-06,9.571094784746472e-07,-2.1827689025636748e-07,1.2660987907093983e-07,-1.0910206650422673e-06,1.217630544113207e-06,2.8788844736075863e-07,-7.583490157399876e-08,-7.553968478365932e-07,4.1843728214348523e-07,-1.5333259016461795e-06,1.9517631837896647e-06,5.651173554110893e-07,-2.640401954356623e-07,-1.4198319392447678e-06,-5.883914048188905e-08,-2.619894231350632e-06,2.5610550908687427e-06,7.178294243220328e-07,-4.96199188290091e-07
EPCTL08,L,1,-4.183158428775807e-06,-3.3439295143221122e-06,-5.292468201940388e-06,1.9485386876182755e-06,4.917556010669357e-07,-1.4614352845485523e-06,-3.08070785006071e-07,2.808278471029829e-07,-1.0488893507094955e-06,1.3297171978124784e-06,2.756326180612998e-07,-1.0733975521304973e-07,1.3165979822574774e-06,2.9474951415884395e-06,3.679361031953872e-07,2.579559038393052e-06,5.127168713699918e-07,4.59020023966831e-07,-2.851652075316766e-06,-2.102421032299177e-06,-4.378217520612229e-06,2.275796488313052e-06,4.917707394139312e-07,-9.959248593236307e-07,-2.484105929951801e-06,-1.7797908047012696e-06,-3.7474282016973407e-06,1.967637396996071e-06,4.749874743134268e-07,-8.678259868433539e-07,-1.604950339194537e-06,-6.665830024125333e-07,-3.464514169248736e-06,2.7979311668362025e-06,6.102702276913687e-07,-5.602362009772865e-07,-6.579061729682044e-07,5.110834816035326e-07,-3.5540456009958393e-06,4.065129082599372e-06,8.918195802508849e-07,-2.2888582177420168e-07,-2.840685889712648e-07,3.042353359358328e-08,-1.203243698658022e-06,1.2336672322516053e-06,2.939883953245439e-07,-9.884321404397093e-08,-7.16309588444119e-07,3.5815525638473086e-08,-1.6230950218760997e-06,1.6589105475145729e-06,4.095286194539497e-07,-2.5099403965103925e-07,-8.985273503608387e-07,7.089457822604776e-09,-2.0734157758058198e-06,2.0805052336284244e-06,5.30119552592899e-07,-3.147416934455688e-07
EPCTL08,L,2,3.3855767361706684e-06,7.5421484564742976e-06,-1.512191163564303e-07,7.693367572830728e-06,2.355425530728261e-06,1.1827644957512092e-06,-5.849594424473518e-07,-1.403908184961152e-07,-1.1681118858608522e-06,1.027721067364737e-06,2.2286346282442072e-07,-2.0423960636711745e-07,1.019708265597323e-07,1.5305051159133427e-06,-7.057617119737097e-07,2.2362668278870524e-06,5.416019369678493e-07,3.488346546516224e-08,2.863530560706019e-06,4.229382827319483e-06,4.3695127693320137e-07,3.792431550386282e-06,1.0004764321939496e-06,1.0015769369515768e-06,4.326447746335808e-07,1.148730888102709e-06,-9.369458367946254e-07,2.0856767248973345e-06,5.355301188027559e-07,1.518836593722847e-07,1.768247327953317e-06,2.545886089470321e-06,-6.352475023816105e-07,3.1811335918519312e-06,8.073288626443289e-07,6.189800396956932e-07,1.9178551711216907e-06,2.8992295306397084e-06,-1.1284732568880427e-06,4.027702787527751e-06,1.0661427565674345e-06,6.717169431648466e-07,-1.9554042659364113e-07,3.0597268014935373e-07,-1.1179468396996572e-06,1.423919519849011e-06,3.406416264329009e-07,-6.785282853946657e-08,-9.6754949335105e-07,-4.964187504362792e-07,-1.4277776060957384e-06,9.313588556594592e-07,2.460827000428756e-07,-3.38117809180174e-07,-2.1011729345681475e-06,-1.4511919593532256e-06,-2.9669534123927875e-06,1.515761453039562e-06,3.728617020124217e-07,-7.34298674928638e-07
EPCTL08,L,3,-1.8828160228497086e-06,-9.496614608120244e-07,-2.695527591059971e-06,1.7458661302479465e-06,4.2245340007008893e-07,-6.585244913274771e-07,-4.524378149933529e-07,-9.040601125878239e-08,-8.588719698700495e-07,7.684659586112672e-07,1.9654575539778883e-07,-1.5793329918057857e-07,7.203823110656308e-07,1.6285856762680979e-06,-7.359489092458147e-07,2.3645345855139126e-06,5.546792620102779e-07,2.513428064006578e-07,-2.3025307982490303e-06,-1.8259340086629389e-06,-3.4613566597817733e-06,1.6354226511188344e-06,2.648856740904438e-07,-8.042474433571346e-07,-2.3181149242038442e-06,-1.6838875126092845e-06,-3.613507781810349e-06,1.9296202692010647e-06,3.267424323492433e-07,-8.097036553933774e-07,-1.608784224755103e-06,-5.793587543926359e-07,-3.6141248943880357e-06,3.0347661399954e-06,4.924084461221847e-07,-5.616798366356904e-07,-8.767037641292042e-07,4.207242091977174e-07,-4.138473029695376e-06,4.559197238893093e-06,9.159501825163144e-07,-3.0536915447807036e-07,-5.518373107349008e-07,-1.8214870472373638e-07,-1.3181180816939495e-06,1.1359693769702132e-06,2.5845783148682225e-07,-1.9247808573699667e-07,-9.730887557929431e-07,-1.7395549950212424e-08,-2.5014824183007357e-06,2.4840868683505233e-06,6.408560544465182e-07,-3.399034262833199e-07,-1.655707479674359e-06,-1.9990461039291895e-07,-3.9197156626864586e-06,3.7198110522935395e-06,1.0354174765050063e-06,-5.78136977968734e-07
EPCTL08,L,4,-7.701739531809687e-07,9.820741069132654e-08,-1.3260413374605373e-06,1.4242487481518638e-06,3.784404046630996e-07,-2.691866002431201e-07,-5.852907869692331e-07,-1.6121846586720877e-08,-1.2256714264057246e-06,1.2095495798190038e-06,2.6328969512154047e-07,-2.043132396807789e-07,8.789720212378547e-07,2.0829910452944895e-06,-2.4029715017003607e-08,2.1070207603114932e-06,5.428170483798782e-07,3.0653504853040486e-07,-1.404323702158459e-06,-6.547149518350515e-07,-2.6786806487638035e-06,2.023965696928752e-06,4.2913041034908047e-07,-4.902896832322852e-07,-1.7164009140019208e-06,-1.168060957258273e-06,-2.900312458931668e-06,1.732251501673395e-06,3.9147997766900185e-07,-5.994801873061681e-07,-9.096157126527635e-07,-1.0908156803146609e-07,-2.9571832902160997e-06,2.8481017221846337e-06,6.333397051343545e-07,-3.1724268612087886e-07,-2.2807031746979038e-07,9.205701918713791e-07,-3.6141014285905454e-06,4.534671620461924e-06,1.027929064910531e-06,-7.859555682386096e-08,-4.564519653603345e-07,-8.146842021888214e-08,-1.2848692531220491e-06,1.203400832903167e-06,2.989663440386973e-07,-1.5907002343290667e-07,-5.766729311609042e-07,3.626397484526956e-08,-1.3876407599948853e-06,1.4239047348401549e-06,4.0885763712774085e-07,-2.0176262765681405e-07,-1.5230431106868772e-06,-2.9972415422593473e-07,-2.753437905960511e-06,2.4537137517345765e-06,6.071171757640711e-07,-5.32609125842245e-07
EPCTL08,L,5,2.2264957065453973e-07,2.0515318989172974e-06,-1.2590178347532846e-06,3.3105497336705822e-06,9.553166896840906e-07,7.837688057740487e-08,-5.447200916817237e-07,-2.5451085999562324e-07,-1.068484043084152e-06,8.139731830885287e-07,2.186992569870242e-07,-1.9025820173280907e-07,3.9778620101764804e-07,1.2793385351579063e-06,-1.8708072649006565e-07,1.4664192616479719e-06,4.1849606709781184e-07,1.383838376404009e-07,-1.1596031605209588e-06,1.07045580033336e-07,-3.3627852555643465e-06,3.4698308355976825e-06,7.713166434031599e-07,-4.046732836006264e-07,-1.7295068808585633e-06,-7.524488166022603e-07,-3.5840749092240276e-06,2.8316260926217674e-06,6.136294889110515e-07,-6.042119973928371e-07,-1.1361959378126157e-06,-2.020323836744929e-08,-3.86297068240822e-06,3.842767444040771e-06,9.280853406737641e-07,-3.962971737319451e-07,-6.221317085728399e-07,6.32850306392969e-07,-4.51879726411165e-06,5.151647570504619e-06,1.2897119276901598e-06,-2.1607321604168683e-07,-4.0735798513426696e-07,-9.057150551574406e-08,-1.075650271206326e-06,9.85078765690582e-07,2.5685290220083005e-07,-1.4218560719030583e-07,-1.1210490463513317e-06,-3.1528862171793495e-07,-1.919290516572478e-06,1.6040018948545433e-06,4.2563825581483433e-07,-3.9207694311125325e-07,-2.25859347701742e-06,-1.0176573067020731e-06,-3.3607759736137068e-06,2.343118666911634e-06,6.795837360402704e-07,-7.896091036620078e-07
EPCTL08,L,6,-5.995728646395484e-06,-1.9049148747244795e-06,-8.937845695474642e-06,7.0329308207501625e-06,1.6069687473938833e-06,-2.097425077977397e-06,-7.666918827133643e-07,-2.928745501699112e-07,-1.2980800544737934e-06,1.0052055043038822e-06,2.1386304149303507e-07,-2.677573544604053e-07,1.444177702726343e-06,2.5273333270603856e-06,6.691136962873192e-07,1.8582196307730663e-06,3.9843186348588715e-07,5.043942777791448e-07,-4.080817581727602e-06,-1.8180667269185748e-06,-6.455015442803258e-06,4.636948715884684e-06,1.1884562929198886e-06,-1.4257382945282385e-06,-2.7980405473648967e-06,-9.359759517655843e-07,-4.625847309481906e-06,3.6898713577163216e-06,8.121476808248584e-07,-9.772224583729493e-07,-2.699637760211949e-06,-5.104364487306746e-07,-5.534630833123096e-06,5.024194384392421e-06,1.210566285832129e-06,-9.425278525253279e-07,-1.7994206291793235e-06,1.2083842568264682e-07,-6.000255008030269e-06,6.121093433712915e-06,1.4662046542028133e-06,-6.269647314882607e-07,-9.416870618665279e-07,-5.791943604164631e-07,-1.8212235090147126e-06,1.2420291485982496e-06,3.15227726600389e-07,-3.287269377966831e-07,-4.1663498273938407e-07,3.258603930868695e-07,-9.359684008311894e-07,1.2618287939180589e-06,2.908171473387686e-07,-1.453687420752974e-07,-4.426634951551404e-07,3.609573523121305e-07,-1.081815893306765e-06,1.4427732456188954e-06,3.5130169250123336e-07,-1.545241263231864e-07
EPCTL08,W,0,-1.8441835799863829e-06,-8.344409141311794e-07,-3.2962849498233474e-06,2.461844035692168e-06,6.806153447819991e-07,-6.437593640566502e-07,-3.7456836072445116e-07,2.310406814148468e-07,-8.669470419387655e-07,1.0979877233536123e-06,2.8544325158826616e-07,-1.304644339993078e-07,9.472383659793929e-07,2.08623893163785e-06,-7.400982656578494e-08,2.160248758203635e-06,5.736067598241838e-07,3.3021002151488005e-07,-1.8713222017443066e-06,-7.428875354477146e-07,-3.841355814621843e-06,3.098468279174128e-06,7.515362971246921e-07,-6.530407777169066e-07,-1.9489494516857177e-06,-1.2127560389989132e-06,-3.4655332028357687e-06,2.2527771638368555e-06,4.97797060897246e-07,-6.804372783837286e-07,-1.1775064104321017e-06,-2.9727738591549885e-07,-3.657018683492115e-06,3.3597412975766164e-06,7.991010496950761e-07,-4.104955837549077e-07,-3.863011207221311e-07,6.795013001265633e-07,-4.258529605920673e-06,4.9380309060472366e-06,1.2097808142970076e-06,-1.3345266284353818e-07,-4.5355982217111403e-07,-3.1552322406706834e-08,-1.3223453001136647e-06,1.2907929777069579e-06,3.3258287325762663e-07,-1.5797401121541998e-07,-9.562482976872038e-07,-4.128156079102397e-07,-1.6054552390388067e-06,1.192639631128567e-06,3.6625889056068557e-07,-3.3441967194235266e-07,-1.5593528227887014e-06,-5.615987899402784e-07,-2.594689541621469e-06,2.0330907516811908e-06,5.715731339090775e-07,-5.450502190193648e-07
EPCTL08,W,1,-1.2505729821975266e-06,-5.451309561709267e-07,-2.141038439663871e-06,1.5959074834929444e-06,4.64463907177973e-07,-4.363022415068783e-07,-5.0230148261003e-07,6.801177750760626e-08,-9.49261280370576e-07,1.0172730578781821e-06,2.8285136155473123e-07,-1.7530870222788437e-07,6.626716116674331e-07,2.4157696266623268e-06,-2.126169837239448e-07,2.6283866103862716e-06,6.285213660929457e-07,2.3026845701946812e-07,-1.522960980372357e-06,-8.80012424754483e-07,-3.5511704703074846e-06,2.6711580455530017e-06,6.318612947133161e-07,-5.310078884511837e-07,-1.7744278040970015e-06,-1.1978481881025508e-06,-3.2825501896438007e-06,2.08470200154125e-06,5.107458666381169e-07,-6.193516271190165e-07,-1.0495909647813073e-06,-1.8962332923862962e-07,-3.7796437266262117e-06,3.590020397387582e-06,8.086379571807968e-07,-3.6548465697990983e-07,-2.2305211989751657e-07,9.250618994144916e-07,-4.2388216584727905e-06,5.163883557887282e-06,1.2106410677876707e-06,-7.60847493197282e-08,-5.967672878071795e-07,-1.783988338767577e-07,-1.2992026559364743e-06,1.1208038220597167e-06,3.08546084424982e-07,-2.08240098459688e-07,-8.951787231337274e-07,1.2175634715174265e-07,-1.6446101722050634e-06,1.7663665193568062e-06,4.390610020250219e-07,-3.1337873908546954e-07,-1.551644820331142e-06,-3.984732671816572e-08,-2.537475788090362e-06,2.4976284613721963e-06,6.738455803425097e-07,-5.428220664891086e-07
EPCTL08,W,2,-3.3601905621373265e-07,7.963625574106352e-07,-1.7118638877530132e-06,2.5082264451636485e-06,6.180630126347351e-07,-1.1673733542447208e-07,-3.620394285996393e-07,2.1944380314813824e-08,-9.358975290475182e-07,9.57841909362332e-07,2.6986411402234897e-07,-1.2648688469747254e-07,4.330756728854294e-07,1.6930933254399385e-06,-7.329326398960624e-07,2.426025965336001e-06,6.286861662511115e-07,1.5064654370434262e-07,-1.053686496586343e-06,-1.3926984869553169e-08,-3.454198989172645e-06,3.440272004303092e-06,8.103761775558259e-07,-3.6691376142418815e-07,-1.4553451813182463e-06,-8.126280292307391e-07,-3.203738535793172e-06,2.391110506562433e-06,5.563996766964503e-07,-5.077264018447934e-07,-8.747193361038244e-07,1.4318717409852755e-07,-3.5897652722047924e-06,3.73295244630332e-06,8.626543724235101e-07,-3.043627733948597e-07,-3.227270301080527e-07,1.2511910300692863e-06,-4.066236282906262e-06,5.317427312975548e-06,1.284313890593406e-06,-1.1103694742340531e-07,-4.2368603094540873e-07,4.846310780817636e-08,-1.295146509861043e-06,1.3436096176692193e-06,3.426383551890132e-07,-1.4770559279349153e-07,-9.033801642044463e-07,-4.5411969510529525e-08,-1.5396445560980452e-06,1.4942325865875157e-06,3.642893834370321e-07,-3.1582775386472947e-07,-1.5049843495681622e-06,6.113772427950259e-08,-2.3322055470726566e-06,2.393343271352159e-06,6.139710513762725e-07,-5.261894519157844e-07
