subject,stage,window_index,FC6_mean_amp,FC6_peak_pos,FC6_peak_neg,FC6_ptp,FC6_std,FC6_auc,POZ_mean_amp,POZ_peak_pos,POZ_peak_neg,POZ_ptp,POZ_std,POZ_auc,C2_mean_amp,C2_peak_pos,C2_peak_neg,C2_ptp,C2_std,C2_auc,F6_mean_amp,F6_peak_pos,F6_peak_neg,F6_ptp,F6_std,F6_auc,PO8_mean_amp,PO8_peak_pos,PO8_peak_neg,PO8_ptp,PO8_std,PO8_auc,Fp1_mean_amp,Fp1_peak_pos,Fp1_peak_neg,Fp1_ptp,Fp1_std,Fp1_auc,P6_mean_amp,P6_peak_pos,P6_peak_neg,P6_ptp,P6_std,P6_auc,FT10_mean_amp,FT10_peak_pos,FT10_peak_neg,FT10_ptp,FT10_std,FT10_auc,CZ_mean_amp,CZ_peak_pos,CZ_peak_neg,CZ_ptp,CZ_std,CZ_auc,FT8_mean_amp,FT8_peak_pos,FT8_peak_neg,FT8_ptp,FT8_std,FT8_auc
EPCTL16,L,0,8.875087159370667e-06,1.2641209012289193e-05,-2.4907499597653566e-07,1.2890284008265727e-05,3.962311577999815e-06,3.1070712072652053e-06,-1.3068963008188374e-06,-5.727840202634912e-07,-1.8036723660793574e-06,1.2308883458158663e-06,2.905628893308666e-07,-4.5711937733613393e-07,-1.3836839282665392e-06,-1.0229871871933902e-07,-2.8274478878390314e-06,2.7251491691196924e-06,6.428966551268587e-07,-4.837380731268473e-07,2.1595060910080735e-06,4.118189529213344e-06,3.651174953365574e-07,3.753072033876787e-06,8.695255824333058e-07,7.555665797531072e-07,3.9153827128949315e-07,1.460909721403359e-06,-8.814942799989781e-07,2.342404001402337e-06,4.690785496527181e-07,1.366972189157851e-07,-1.3455783217013663e-07,1.8673741594078045e-06,-1.3925226502850135e-06,3.259896809692818e-06,7.997614176498971e-07,-4.787454775955482e-08,-9.98473033126604e-07,1.980087235493628e-06,-2.8556085147204557e-06,4.8356957502140835e-06,1.2284776876050816e-06,-3.5015494343518116e-07,8.462633180984906e-08,5.676511203659091e-07,-4.128863953464553e-07,9.805375157123645e-07,2.2702554957342557e-07,2.9680468569193e-08,-7.771107836613173e-07,8.780555120835859e-07,-2.437020129762008e-06,3.3150756418455937e-06,7.223333373433695e-07,-2.714473731602043e-07,-1.497310796985664e-06,7.19779047517446e-07,-4.026121961846139e-06,4.745901009363585e-06,1.0722102522857936e-06,-5.234490309907897e-07
EPCTL16,L,1,-4.754975055061139e-06,2.7404374750777197e-08,-1.0830090399438799e-05,1.0857494774189577e-05,3.118019734031244e-06,-1.6585932155059124e-06,-1.9298964727358878e-07,2.239161288517911e-07,-6.379994615895959e-07,8.61915590441387e-07,2.2477104250244633e-07,-6.738698386910289e-08,6.884781786301729e-07,2.3294750749285877e-06,-6.903462998555499e-07,3.0198213747841375e-06,8.319383570483886e-07,2.399207259761e-07,-1.8110171377464087e-06,-5.49606081164951e-07,-3.264609558028361e-06,2.71500347686341e-06,6.250272659995823e-07,-6.32864791379259e-07,-1.2172159751396205e-06,4.7067899647564737e-07,-2.567826433416374e-06,3.0385054298920213e-06,6.742298368219286e-07,-4.2571069135493744e-07,-3.4544494174501363e-07,2.7428353142720918e-06,-1.904235303973832e-06,4.647070618245924e-06,1.1549443933871277e-06,-1.212648854851079e-07,-1.5259366020517148e-06,8.103036885195273e-07,-3.4052560565783004e-06,4.215559745097828e-06,1.2013719983651982e-06,-5.334495052755815e-07,-1.0912047413534506e-07,2.875611076892158e-07,-6.644651498568479e-07,9.520262575460637e-07,2.0731772301044273e-07,-3.815735814164724e-08,1.2480391268471833e-06,3.900832972566644e-06,-7.676911843045544e-07,4.668524156871198e-06,1.0801842776863087e-06,4.3587995198134653e-07,1.221910602011557e-06,4.215370571541705e-06,-1.2006957348721447e-06,5.416066306413849e-06,1.4389568427331985e-06,4.2688272724899774e-07
EPCTL16,L,2,1.8238002758026883e-06,4.7405924063922344e-06,-7.970832495953442e-07,5.537675655987578e-06,1.5721268657051783e-06,6.351133786295554e-07,2.211579959332129e-06,3.085399237117769e-06,8.836359187429817e-07,2.2017633183747875e-06,6.247224073536896e-07,7.737708550734844e-07,1.236983076261569e-07,9.317748740533867e-07,-6.91241305436291e-07,1.6230161794896777e-06,4.3974304926684194e-07,4.308612024475121e-08,-1.3381344147153982e-06,1.891608384916848e-07,-2.027290255804857e-06,2.2164510942965417e-06,5.666892422105015e-07,-4.683345529306335e-07,-9.507393048598547e-07,-2.3372267831494914e-07,-1.7458448496548679e-06,1.5121221713399187e-06,3.241109093971955e-07,-3.3243305905790317e-07,-4.0575102461458916e-07,3.883350154066145e-07,-1.1796654117586477e-06,1.568000427165262e-06,3.241557659418724e-07,-1.4183767311539904e-07,-2.5103582382763234e-07,6.264591880332688e-07,-1.917176115037616e-06,2.5436353030708847e-06,5.994721623567103e-07,-8.694151239431892e-08,3.9310658998691463e-07,7.651710745338607e-07,-2.2418834281301843e-07,9.893594173468791e-07,2.5613373859595815e-07,1.3765247585840214e-07,9.650915198602084e-08,7.15071653642608e-07,-6.038500746734097e-07,1.3189217283160176e-06,3.424324183158727e-07,3.402287300004462e-08,1.0415396774431512e-07,1.2206116591076037e-06,-1.3228019038567942e-06,2.5434135629643978e-06,6.440303529673835e-07,3.702197579787336e-08
EPCTL16,L,3,3.5127034240282634e-07,4.473581510573085e-06,-1.854956426603569e-06,6.328537937176653e-06,1.7535193494575873e-06,1.1967379134374397e-07,1.0510990192156039e-07,1.009073076032627e-06,-9.595762776730243e-07,1.968649353705651e-06,4.7252704027376424e-07,3.7370217399524374e-08,-2.8086303177751883e-07,2.8621177135105274e-07,-1.1661689763851335e-06,1.4523807477361862e-06,3.95451881529029e-07,-9.837735757392399e-08,9.524277386591426e-08,1.8555856253447502e-06,-1.862537826154173e-06,3.7181234514989232e-06,9.418988903497687e-07,3.316977706725003e-08,-3.0475239015175486e-07,4.811703325857784e-07,-1.4622327636978858e-06,1.9434030962836642e-06,4.2666870000327007e-07,-1.0655971056813944e-07,2.5329715468058374e-07,1.201201818316787e-06,-7.514537898923846e-07,1.9526556082091717e-06,4.399683573005371e-07,8.919909549610852e-08,-1.5231248467553014e-07,8.261298247009314e-07,-2.5556506122538337e-06,3.381780436954765e-06,7.618850308428562e-07,-5.204037511466879e-08,3.213502102876071e-07,9.202848459740206e-07,-2.7813728696054656e-07,1.198422132934567e-06,2.746376065569463e-07,1.1261426738727033e-07,-1.3856884718454315e-07,4.982048016605892e-07,-8.856534352511748e-07,1.3838582369117642e-06,3.309596556115979e-07,-4.8392072881764525e-08,-7.8693221822129e-07,1.2655338929300576e-07,-1.9468178430791245e-06,2.07337123237213e-06,4.785918815141693e-07,-2.7488927972601764e-07
EPCTL16,L,4,2.250029207086873e-06,6.582061007491432e-06,-1.2127080871683788e-06,7.794769094659812e-06,2.1653675370461243e-06,7.862243265383328e-07,1.9824635121821362e-07,7.862134550860152e-07,-8.620410354782992e-07,1.6482544905643144e-06,4.248409691826955e-07,6.979551461753422e-08,-6.881177951766833e-07,1.3954279851475778e-07,-1.7984838611219457e-06,1.9380266596367034e-06,5.179427177341496e-07,-2.410698360596782e-07,-2.0153783953510243e-06,1.6866572036197617e-07,-3.6081229460526357e-06,3.7767886664146118e-06,1.1672814528020577e-06,-7.045436858587486e-07,-1.5331477383972882e-06,5.0141525845074995e-08,-2.5555977648370897e-06,2.6057392906821647e-06,7.033082114361775e-07,-5.361224798090934e-07,-1.3806764507788183e-06,3.28417399494547e-07,-3.0064422993638493e-06,3.334859698858396e-06,9.550319988523116e-07,-4.824180562732784e-07,-1.9525888457580316e-06,1.8947512478316684e-07,-4.575855899501867e-06,4.765331024285034e-06,1.3929760117806664e-06,-6.82065487487311e-07,-4.245982008026784e-08,2.866831401470657e-07,-8.358641530384042e-07,1.12254729318547e-06,2.815985011419709e-07,-1.4548894087008547e-08,-6.527234074568428e-07,3.373181884982965e-07,-1.5592374913230592e-06,1.8965556798213556e-06,5.025323697503873e-07,-2.285406177641681e-07,-7.591312319848786e-07,5.999853057247246e-07,-2.2726145055919596e-06,2.872599811316684e-06,7.51354883118636e-07,-2.6591986408287484e-07
EPCTL16,L,5,1.3581324432306225e-06,1.0586099787493078e-05,-4.541393457982413e-06,1.512749324547549e-05,3.995684386257408e-06,4.696726436527866e-07,2.767959225482086e-07,1.1472742302235169e-06,-6.011028040436704e-07,1.7483770342671872e-06,4.254350010558761e-07,9.702921255748e-08,5.37599047016313e-07,2.2522795041117522e-06,-1.5966908176971845e-06,3.848970321808937e-06,9.318523030156151e-07,1.875214057739447e-07,-3.3216162082512807e-07,2.5064892223151307e-06,-2.1337655732341756e-06,4.640254795549307e-06,1.2076928941011903e-06,-1.1643279353145842e-07,-1.604773947445608e-07,7.672884013750358e-07,-1.790765016409372e-06,2.558053417784408e-06,5.159460458361654e-07,-5.557516105680529e-08,3.892945084593345e-07,1.2864659904946969e-06,-5.458601900329241e-07,1.832326180527621e-06,4.101158028312553e-07,1.3605383817167225e-07,1.567877587387493e-07,1.225264217284785e-06,-1.226756742007527e-06,2.452020959292312e-06,6.388709445476444e-07,5.5782128761384315e-08,6.109136482101245e-07,1.371329192476288e-06,7.669152259255797e-08,1.29463766988373e-06,3.9864820945484955e-07,2.1373731158559275e-07,6.917582700989213e-07,1.4991097457730299e-06,-1.169471204957129e-06,2.668580950730159e-06,5.712847103910601e-07,2.418796086950405e-07,7.067427501003342e-07,2.172885317549557e-06,-2.0567173034995783e-06,4.229602621049136e-06,9.564424871581645e-07,2.469489851976335e-07
EPCTL16,L,6,3.1141215792296687e-06,7.558926489022782e-06,-1.4641951211649856e-06,9.023121610187767e-06,2.226991860369855e-06,1.091460106248033e-06,4.791084231203671e-07,1.5075358372238465e-06,2.2886898719874487e-08,1.4846489385039721e-06,3.4690140769312927e-07,1.6775458664422466e-07,5.328902813042453e-07,2.766827104309932e-06,-8.248755043566535e-07,3.5917026086665853e-06,6.986407139722787e-07,1.8564227169791157e-07,-1.8005297164049592e-06,4.3660372668428144e-07,-4.7807503758708415e-06,5.217354102555123e-06,1.3489033689516198e-06,-6.286478434449052e-07,-1.3071374597504377e-06,1.0714054432876803e-06,-3.541835393620478e-06,4.613240836908159e-06,1.2177468539025636e-06,-4.564538169934529e-07,-6.438272657621804e-07,1.1882696781069358e-06,-3.5329657844158596e-06,4.721235462522795e-06,1.1875229416095767e-06,-2.2462101390590113e-07,-1.1350456790907282e-06,1.6080179828619936e-06,-4.830081130111627e-06,6.43809911297362e-06,1.7348576652903705e-06,-3.9640110033562293e-07,5.521319361904315e-07,1.1653115272624757e-06,-1.537082314099323e-07,1.319019758672408e-06,3.0937762568811056e-07,1.9326806407867078e-07,5.897620726819739e-07,1.1319298883957187e-06,-4.1216463972352354e-08,1.173146352368071e-06,2.520860567088286e-07,2.0638127918274472e-07,5.658244948587043e-07,2.6549139147360183e-06,-4.947724747843034e-07,3.1496863895203215e-06,6.21532120901946e-07,1.9774511131264431e-07
EPCTL16,N2,0,1.5625212691215143e-07,1.775716370756568e-06,-8.611319406298749e-07,2.636848311386443e-06,6.163125363457005e-07,5.470853498911393e-08,1.205262295225745e-06,2.35967850969457e-06,1.9465618286883146e-07,2.1650223268257384e-06,5.981521620368953e-07,4.216105263845382e-07,2.1022397342724675e-06,3.2875837742191637e-06,8.9788727536188e-07,2.3896964988572837e-06,6.918169157649934e-07,7.344687759754923e-07,4.777574589429977e-07,1.6879728686715381e-06,-1.5682672228771308e-06,3.256240091548669e-06,8.519047110972364e-07,1.6752152911661396e-07,-1.7416733365056846e-07,7.164948973493008e-07,-1.7561571347913845e-06,2.472652032140685e-06,6.761983969027034e-07,-6.057569980311251e-08,4.0517435810840407e-07,1.6142157369209824e-06,-1.3345815708272149e-06,2.948797307748197e-06,7.597353262032953e-07,1.419325913868376e-07,3.9202579982075513e-07,2.1975161722762504e-06,-2.020543325837806e-06,4.218059498114056e-06,1.1361923206260178e-06,1.3742832690904502e-07,1.5446638538046092e-06,2.3823671174443165e-06,7.86514802710159e-07,1.5958523147341576e-06,4.1601514296904036e-07,5.401934241154183e-07,2.282397216190207e-06,3.6263171856039128e-06,6.233967701283288e-07,3.002920415475584e-06,8.071582494329488e-07,7.982201994640753e-07,1.8166466582816223e-06,3.7884036045346853e-06,4.93617289977998e-07,3.2947863145566873e-06,8.56907057428758e-07,6.351210240841052e-07
EPCTL16,N2,1,-1.620987489735331e-06,-2.5049328133751177e-07,-3.622242981580185e-06,3.3717497002426734e-06,8.866470251135935e-07,-5.665789957647751e-07,5.211868373629742e-07,1.504992221969606e-06,-1.3151876020697007e-06,2.8201798240393068e-06,7.898123617903615e-07,1.8299865616603395e-07,2.764494937301729e-07,2.27024768568176e-06,-1.4296756193010141e-06,3.699923304982774e-06,1.076710920421537e-06,9.552515133565176e-08,-9.243142407684136e-08,1.3245883819997982e-06,-1.6262850498246252e-06,2.9508734318244234e-06,9.815493794194792e-07,-3.140310817794447e-08,2.1862186537959638e-07,1.2598530898550584e-06,-9.450686399234456e-07,2.204921729778504e-06,7.017571722130373e-07,7.692386762019505e-08,8.684737654882459e-07,2.0624735848984598e-06,-6.398238865278289e-07,2.7022974714262886e-06,8.446342600721159e-07,3.0392294488520403e-07,1.0683657060503158e-06,2.8878283408396955e-06,-1.0945772250576723e-06,3.982405565897368e-06,1.1859120898882443e-06,3.7355792475082843e-07,8.330326935933807e-07,1.6652569105566943e-06,-1.0992558358549298e-06,2.764512746411624e-06,7.147042179256027e-07,2.9207508585989585e-07,1.386527499121963e-06,2.644529285003532e-06,-2.5639149294693857e-08,2.6701684342982262e-06,6.204133868046656e-07,4.846265975924807e-07,2.5943243657011346e-07,2.8036283496375214e-06,-1.8166877362360633e-06,4.620316085873585e-06,1.193265608550165e-06,9.003464004730178e-08
EPCTL16,N3,0,-2.8289977183574893e-06,-1.555744767425164e-06,-5.051831637568962e-06,3.496086870143798e-06,9.780110041490976e-07,-9.886511162333325e-07,-1.527901444372639e-07,8.971635337878677e-07,-1.4367821891118708e-06,2.3339457228997386e-06,6.369031278248134e-07,-5.3053643068319416e-08,-2.4659765651415495e-07,3.2213961890165055e-06,-2.8826545831227512e-06,6.104050772139257e-06,1.8796636532492462e-06,-8.635231915093452e-08,-2.9932973082214637e-06,-1.856513789486887e-06,-4.3180002703784386e-06,2.4614864808915515e-06,6.369234188536515e-07,-1.0462271386403648e-06,-1.4464728808087542e-06,-6.243215186623726e-07,-2.7123452975465003e-06,2.0880237788841277e-06,5.783437495685505e-07,-5.059562243472234e-07,-1.2812425882304045e-07,8.407332206990894e-07,-1.2585843989809222e-06,2.0993176196800116e-06,5.389408746480945e-07,-4.491688729069605e-08,4.758931704192836e-07,1.6617729499399384e-06,-1.8095253165429548e-06,3.471298266482893e-06,8.551200256031834e-07,1.6652536253462756e-07,-1.1245365965957266e-07,6.034974576385381e-07,-9.25334991282374e-07,1.528832448920912e-06,4.085108990649425e-07,-3.9109153470066515e-08,6.425963364331782e-07,2.273409012854842e-06,-8.100930281017434e-07,3.083502040956585e-06,9.080004276097583e-07,2.2433898256128603e-07,8.702634183298227e-08,3.2060502016019844e-06,-3.0456641804817568e-06,6.2517143820837416e-06,2.084277626097416e-06,2.983535070340271e-08
