HF,LF,LF/HF,RMSSD,SDNN,SampEn,is_N1,is_N2,is_N3,is_R,is_W,subject_id,trans_L_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N1_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N2_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_N3_W,trans_R_L,trans_R_N1,trans_R_N2,trans_R_N3,trans_R_W,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,window_id
-7.544809587838317,-8.306641469523058,0.4658003821898815,50.76115093692814,46.56200081850132,1.5127021545711927,1,0,0,1,0,4,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,49
-6.977731759428514,-7.057131974657653,0.9235882332703832,64.05811186818508,57.79585686727411,1.3567790480115058,0,0,0,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,50
-7.057746620494377,-6.918322662553924,1.149785407886088,68.54702573293818,69.29546328401489,1.6936985812090417,1,0,0,1,0,4,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,51
-6.8106913832388,-7.243293622113006,0.6484995292879355,71.68722029745153,57.87736100807656,1.7682457017654267,1,0,0,1,0,4,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,52
-6.965689314766796,-7.402787485043623,0.6455324094854862,70.8320630747196,59.60506872801935,1.5361993196895385,1,1,0,1,0,4,,1,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,53
-6.629567426343379,-5.582279158167768,2.8513141629338348,91.76400357964634,148.766573534573,1.0266703861884467,1,1,0,0,0,4,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,54
-7.069462783304503,-5.899517469823277,3.224431299163839,72.62387536298665,118.89715581739354,1.457048501175181,1,1,0,0,1,4,,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,55
-6.805518100013619,-5.7206286247587,2.960883060903097,84.73271254831891,109.9923113119834,1.5868629468139526,1,1,0,0,0,4,,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,56
-7.057146410276611,-5.466920355067322,4.909396878097639,80.94009447130394,122.63546153140317,1.468031055546977,1,1,0,0,1,4,,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,57
-6.866637304001575,-7.754243900548749,0.4110745937071498,81.31125944545695,68.72951443542782,1.4254666552769075,0,1,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,58
-6.853546269863546,-7.59585218479666,0.4755181918532268,80.41667168722039,62.96082573472653,1.2638511263689371,0,1,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,59
-6.916986345832225,-7.535481689175421,0.5382884751828293,79.79297732732218,60.0382261077291,1.7378954793374035,0,1,1,0,0,4,,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,60
-6.676659571517031,-7.1301147081446805,0.6351392842195013,89.72473214813672,70.86530441235878,1.6415691906168937,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,61
-6.881527378479966,-7.55121010712051,0.5113949975041641,82.76945244519476,57.80708734289941,1.7760774846755645,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,62
-6.726126996090104,-7.803497083576324,0.339939375605448,90.02601141293289,64.47476465336386,1.8128412400594056,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,63
-6.877189190731158,-7.472433920166849,0.5509921076807801,81.05056167826703,60.75332590371429,1.8725579396280796,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64
-6.820911894950075,-6.908825017160265,0.915763209429322,90.3277906079807,77.31036220083182,2.1281933556738117,0,1,1,0,0,4,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,65
-5.774162748359696,-5.934772044500281,0.8515769655487158,135.0247034534378,142.65599591929185,1.1724840382076496,1,1,0,0,1,4,,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,66
-6.079549479967682,-6.050631740773981,1.0293527388867127,117.9756992988642,92.42311684187077,1.7245833731289522,0,1,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,67
-6.172380441952862,-6.737373589034441,0.568157048247174,111.61367374673551,82.33825749839637,1.7348401154974389,1,1,0,0,0,4,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,68
-6.441537922922927,-6.892896495627412,0.6365344478815663,99.6597743926174,82.02853267912428,2.0410315846009635,0,1,0,1,0,4,,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,69
-6.074168433705263,-6.00513616661864,1.0715018485295935,120.198447022712,145.14464102775588,1.371325076976995,1,0,0,1,1,4,,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,70
