subject_id,window_id,start_time,frac_W,frac_N1,frac_N2,frac_N3,frac_R,is_W,is_N1,is_N2,is_N3,is_R,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,trans_N1_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N2_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N3_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_R_W,trans_R_N1,trans_R_N2,trans_R_N3,SDNN,RMSSD,LF,HF,LF/HF
20,49,14700,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.91763800676235,45.506531887631574,0.0004352302680410052,0.001897208670651058,0.22940558662513852
20,50,15000,0.0,0.3,0.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.4634553103267,57.15799944343231,0.0016473634029559754,0.0021608269241692327,0.7623763775478375
20,51,15300,0.0,0.0,0.2,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7138312207645,33.7834694342579,0.001055400260965856,0.0008907756866343135,1.184810358883454
20,52,15600,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.76074324255355,35.6191243810206,0.001682966100241448,0.0011691239618912882,1.4395103984687125
20,53,15900,0.1,0.3,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33248856218975,30.830095256310873,0.002121734009699242,0.0009897683205732498,2.143667326582432
20,54,16200,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.96254978944033,21.78171937584124,0.00036230647535224895,0.0010660055996688435,0.3398729570133591
20,55,16500,0.3,0.3,0.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.95587025642455,28.098609345288544,0.007360958656808758,0.0013499976384165069,5.452571506304905
20,56,16800,0.0,0.0,0.4,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.74280763942823,35.7789063134578,0.0026031410288791194,0.002497611299627405,1.0422522628991377
20,57,17100,0.2,0.4,0.1,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.17950584999123,28.513453084368226,0.002409408540669262,0.000361802441227917,6.659459047573032
20,58,17400,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.57387447747727,32.399710781912525,0.000316708720216747,0.0009472991560221048,0.33432809287687865
20,59,17700,0.0,0.3,0.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.646116514991135,36.65308003240086,0.0007289470414824147,0.0004987765105293682,1.4614702699386521
20,60,18000,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.31921120532027,34.19335775088289,0.0001989400915715997,0.0002598982351981634,0.7654537993300139
20,61,18300,0.0,0.3,0.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.54083649180993,44.20606586198946,0.004730864470219104,0.0012922827485317935,3.660858643817694
20,62,18600,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.93566091562379,42.25821171755426,0.00042811158121663104,0.00048619369209789586,0.8805370949371143
20,63,18900,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.67634364349004,35.785956552155966,0.00013214203484487237,0.000363875694226191,0.36315158429551697
20,64,19200,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8119423157008,45.06252752426391,0.002389513812780057,0.00045564164595709647,5.244283164153646
20,65,19500,0.0,0.0,0.8,0.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.119066587503575,41.0786753020446,0.00013011344966580118,0.00015694256924489553,0.8290513548479649
20,66,19800,0.0,0.0,0.2,0.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.946326792699836,46.72609991493467,0.0005382249300831215,0.0006520625383739558,0.8254191866707903
20,67,20100,0.0,0.0,0.1,0.9,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.72564285471959,47.29009578989103,0.00015691365097954255,0.00036487741042973056,0.4300448492953815
